Beds,Bath,Sqft,Lot_Size,Type,Price,Address
3,2,1420,,Residential,99000 CAD,306 McDonald STREET 
2,1,686,0.15,Residential,77900 CAD,565 1st STREET N 
4,2,1197,.172,Residential,135000 CAD,2 6th Street CRESCENT W 
2,2,863,.224,Residential,89900 CAD,205 Main STREET 
2,1,704,.095,Residential,134900 CAD,2143 Wallace STREET 
2,2,936,,Residential,174999 CAD,108 2nd AVENUE E 
2,1,572,.138,Residential,39500 CAD,622 102nd STREET 
3,2,1064,.138,Residential,95000 CAD,17 Bantry STREET 
3,2,1036,0.18,Residential,109900 CAD,260 2nd STREET 
3,1,960,g>10,Residential,175000 CAD,Lingenfelter Farm 
5,2,1026,.143,Residential,155000 CAD,418 McLeod AVENUE E 
4,2,1500,.195,Residential,119900 CAD,219 King STREET 
3,2,864,.161,Residential,129900 CAD,300 1st AVENUE 
4,2,936,.138,Residential,119000 CAD,516 4th STREET E 
3,2,914,.072,Residential,146500 CAD,1352 McTavish STREET 
3,1,1008,.143,Residential,115000 CAD,503 5th AVENUE 
3,1,984,0.13,Residential,92000 CAD,917 13th STREET 
2,1,1000,.138,Residential,99000 CAD,314 3rd STREET E 
2,1,980,,Residential,118309 CAD,710 3rd STREET SE 
3,2,1288,.138,Residential,58900 CAD,618 Forget STREET 
4,2,1560,.264,Residential,189000 CAD,620 3rd STREET W 
4,2,1000,>0.2,Residential,154900 CAD,801 101st STREET 
4,2,936,,Residential,155000 CAD,315 3rd AVENUE E 
3,1,1126,.224,Residential,64900 CAD,201 Sidney STREET 
3,2,748,.267,Residential,99500 CAD,429 Fourth STREET 
3,2,1314,.231,Residential,79900 CAD,58 St George STREET 
2,2,1177,.224,Residential,169000 CAD,9 Peters COURT 
2,1,774,.139,Residential,50000 CAD,121 Elm AVENUE N 
2,1,1022,.149,Residential,60000 CAD,101 Walsh STREET 
2,1,1120,9.88,Residential,149000 CAD,A frame acres 
3,2,993,,Residential,137500 CAD,513 1st AVENUE N 
4,2,1232,.275,Residential,145000 CAD,1015 Pacific AVENUE 
3,2,850,,Residential,122500 CAD,404 48 HIGHWAY 
3,2,1100,8.06,Residential,129000 CAD,PT NW 1-5-25 W3 
2,1,918,.086,Residential,82500 CAD,1534 Garnet STREET 
2,1,1018,.138,Residential,69900 CAD,501 Front STREET 
3,2,1548,.138,Residential,149000 CAD,301 3rd STREET E 
3,2,1280,.482,Residential,179900 CAD,1202 Main STREET 
2,1,684,.177,Residential,32400 CAD,519 6th STREET E 
3,2,1426,.275,Residential,115000 CAD,107 Second STREET E 
2,1,624,.125,Residential,110000 CAD,209 Broadway AVENUE N 
3,1,1288,0.42,Residential,45000 CAD,Hooge Erwood 
4,2,832,.313,Residential,29000 CAD,1105 Grand AVENUE 
5,2,1120,0.22,Residential,200000 CAD,753 Centre STREET 
4,2,960,,Residential,159000 CAD,1407 95th STREET 
3,2,858,.201,Residential,179000 CAD,319 Yukon AVENUE 
3,2,936,,Residential,129000 CAD,510 Fourth STREET E 
2,1,756,.482,Residential,45000 CAD,358 5th AVENUE W 350/366
3,1,1237,.149,Residential,85000 CAD,310 Marsh STREET 
1,3,1404,,Residential,169900 CAD,209 3rd STREET NE 
2,1,616,.161,Residential,64900 CAD,181 5th AVENUE E 
2,1,840,.143,Residential,189900 CAD,545 DUFFIELD STREET W 
3,2,1040,.165,Residential,129000 CAD,115 Ash AVENUE N 
2,1,744,,Residential,89900 CAD,301 15th STREET W 
1,1,768,.138,Residential,40000 CAD,38 Broadway STREET 
4,2,1211,.138,Residential,165000 CAD,595 3rd STREET W 
2,1,990,.143,Residential,156000 CAD,207 3rd AVENUE W 
1,1,530,.138,Residential,29000 CAD,602 Pacific AVENUE 
4,1,1085,0.18,Residential,30000 CAD,222 Railway AVENUE 
4,2,1100,.216,Residential,199000 CAD,1137 Kaposvar DRIVE 
2,2,904,.215,Residential,149999 CAD,308&310 Railway AVENUE 
2,1,915,.138,Residential,47500 CAD,70 3rd STREET NE 
2,1,720,,Residential,77900 CAD,1100 Montague Street 
3,2,640,,Residential,184500 CAD,2128 Herman AVENUE 
4,2,864,.161,Residential,57000 CAD,386 5th AVENUE E 
2,1,884,,Residential,56000 CAD,205 Lynch STREET 
,,280,2.97,Residential,116900 CAD,Recreation acreage North 
4,2,1008,.138,Residential,164900 CAD,1402 103rd STREET 
4,3,1440,.138,Residential,189000 CAD,218 1st STREET NW 
2,,560,.196,Residential,179000 CAD,10 Moose CRESCENT 
3,1,1060,1.68,Residential,97000 CAD,DEVRIEZE ACREAGE 
3,1,1000,,Residential,72900 CAD,1252 Queen Street 
4,2,1505,,Residential,125000 CAD,106 4th AVENUE 
4,1,1598,.207,Residential,30000 CAD,816 Pacific AVENUE 
3,2,858,.138,Residential,125000 CAD,203 1st STREET E 
4,3,1386,1.12,Residential,199000 CAD,101 6th AVENUE E 
4,2,1120,.161,Residential,169700 CAD,212 4th STREET W 
2,2,1132,.207,Residential,124900 CAD,104 6TH AVENUE E 
1,2,634,.138,Residential,99900 CAD,302 6th STREET E 
3,2,1608,.161,Residential,179000 CAD,143 6th AVENUE W 
3,1,871,,Residential,92500 CAD,8 Warren STREET 
3,1,1232,,Residential,124800 CAD,503 Railway AVENUE 
2,1,816,.161,Residential,64900 CAD,145 5th AVENUE E 
2,1,720,,Residential,109900 CAD,901 River STREET W 
1,1,592,.161,Residential,65000 CAD,132 6th AVENUE E 
3,1,888,.138,Residential,54900 CAD,212 1st STREET E 
3,1,1247,0.22,Residential,160000 CAD,44 Wauchope STREET 
4,2,808,.152,Residential,124900 CAD,319 9th STREET 
4,2,1056,8.26,Residential,179000 CAD,Hayworth West 
2,1,789,.161,Residential,55000 CAD,289 1st AVENUE W 
4,3,1131,0.24,Residential,99000 CAD,Lot 1Blk 14 Plan G890 
3,1,756,.072,Residential,56800 CAD,745 Athol STREET 
3,1,1252,,Residential,139900 CAD,17 Munster STREET 
2,1,748,,Residential,36500 CAD,51 McCulloch STREET 
2,1,500,,Residential,79900 CAD,11 Zimmer CRESCENT 
3,1,1144,.103,Residential,150000 CAD,1011 Idylwyld DRIVE N 
3,1,988,.257,Residential,159900 CAD,357 3rd STREET 
4,2,936,.138,Residential,195000 CAD,498 2nd STREET E 
2,1,640,,Residential,134900 CAD,"Lot 7, Block A North "
3,3,1132,0.14,Residential,174900 CAD,508 2nd AVENUE E 
2,2,824,.165,Residential,149000 CAD,212 Pierce STREET 
3,1,840,.148,Residential,129900 CAD,632 8th STREET E 
1,1,480,.138,Residential,39000 CAD,639 Saskatchewan AVENUE 
2,1,697,.095,Residential,65000 CAD,1033 MONTAGUE STREET 
2,1,900,.161,Residential,87000 CAD,107 Grant STREET 
2,2,1264,.241,Residential,134900 CAD,102 4th AVENUE E 
2,1,872,,Residential,39900 CAD,305 3rd STREET E 
3,2,706,.092,Residential,59900 CAD,532 13th STREET E 
3,1,756,.275,Residential,65000 CAD,205 Roleau STREET 
3,3,1180,.275,Residential,118500 CAD,411 3rd STREET E 
2,1,992,2.56,Residential,97500 CAD,Rogers/Peterson Acreage 
3,2,1040,.304,Residential,94500 CAD,303 Bruce STREET 
3,2,1180,,Residential,164900 CAD,41 Bailey DRIVE 
4,2,1083,.321,Residential,169000 CAD,461 6th AVENUE E 
3,2,1395,,Residential,75000 CAD,408 Grant STREET 
3,1,908,.287,Residential,21900 CAD,40 Martin STREET 
3,2,1187,,Residential,139900 CAD,402 3rd AVENUE N 
3,2,900,,Residential,179900 CAD,803 Woodward AVENUE 
5,2,1258,.165,Residential,199000 CAD,537 4th STREET W 
5,2,896,,Residential,149900 CAD,319 6th Avenue W 
3,2,788,,Residential,110000 CAD,205 1st AVENUE 
2,1,624,0.11,Residential,49500 CAD,697 2nd STREET W 
2,,560,0.14,Residential,64900 CAD,20 Ruby DRIVE 
2,2,688,.084,Residential,45000 CAD,127 8th AVENUE W 
3,2,1584,.138,Residential,122000 CAD,112 Third STREET E 
2,2,1075,.072,Residential,174000 CAD,377 Fairford STREET W 
1,1,786,0.11,Residential,85000 CAD,202 Murray CRESCENT 
3,1,720,,Residential,134000 CAD,407 2nd AVENUE 
3,2,1064,.292,Residential,148000 CAD,21 Railway AVENUE 
3,1,913,>0.3,Residential,125000 CAD,100 56 HIGHWAY 
3,1,900,,Residential,45000 CAD,723 Railway AVENUE 
3,2,1024,.138,Residential,175000 CAD,1010 105th AVENUE 
2,1,744,.149,Residential,39000 CAD,55 Broadway STREET 
2,1,768,.161,Residential,107500 CAD,336 7th AVENUE E 
4,2,1276,.143,Residential,99000 CAD,132 1st STREET E 
2,1,784,.161,Residential,69900 CAD,206 4th STREET W 
5,3,1092,.207,Residential,180000 CAD,515 First STREET NW 
4,1,1360,.321,Residential,74900 CAD,115 2nd AVENUE 
5,1,972,,Residential,154900 CAD,34 Assiniboia AVENUE 
3,1,972,.137,Residential,178900 CAD,403 3rd AVENUE W 
3,1,1040,,Residential,135000 CAD,603 5th AVENUE 
1,2,504,,Residential,44500 CAD,1500 15th STREET W 
2,2,890,0.31,Residential,111000 CAD,"303 1st Avenue N, Macrorie "
1,1,606,.233,Residential,84900 CAD,1018 Railway AVENUE 
3,1,1290,.149,Residential,79000 CAD,4565 Price AVENUE 
2,1,1200,,Residential,59900 CAD,517 Main STREET 
2,1,340,.074,Residential,39900 CAD,328 Coteau STREET W 
3,2,800,.138,Residential,27000 CAD,218 Young STREET 
2,1,728,0.18,Residential,199900 CAD,11 Norland PLACE 
2,1,825,,Residential,88000 CAD,203 Dennis STREET 
1,1,600,.107,Residential,189900 CAD,1527 D AVENUE N 
4,3,1410,.402,Residential,185500 CAD,165 2nd AVENUE S 
2,2,800,.161,Residential,119900 CAD,305 4th AVENUE W 
3,2,1240,,Residential,157500 CAD,213 East First Street 
2,1,1032,0.11,Residential,35400 CAD,678 3rd STREET E 
3,3,1599,,Residential,200000 CAD,236 3rd Avenue E 
2,1,816,.143,Residential,179900 CAD,657 Arthur STREET 
3,1,893,.111,Residential,149900 CAD,236 6th STREET E 
3,1,988,,Residential,52900 CAD,18 Beckton STREET 
3,1,798,.275,Residential,59000 CAD,230 Bishop STREET 
5,2,864,0.09,Residential,140000 CAD,1726 14th STREET W 
2,1,1580,,Residential,99500 CAD,"302 Bounty Street, Conquest "
4,2,1592,.138,Residential,139000 CAD,403 1st STREET W 
3,1,1104,1.08,Residential,149900 CAD,513 2nd STREET N 
4,2,1000,.149,Residential,195000 CAD,112 Cypress STREET 
3,1,783,.138,Residential,39000 CAD,237 Atlantic AVENUE 
2,1,973,,Residential,107000 CAD,W 113 1st STREET 
5,2,1110,,Residential,174900 CAD,110 2nd STREET W 
4,2,1088,.182,Residential,169000 CAD,405 East DRIVE 
3,1,1100,.138,Residential,64900 CAD,419 Forget STREET 
2,2,912,.139,Residential,149900 CAD,13 Calvert CRESCENT 
4,2,1120,.158,Residential,174000 CAD,504 Chipman STREET 
4,2,864,0.21,Residential,165000 CAD,1619 14th STREET W 
3,1,1052,9.59,Residential,119900 CAD,39511 Range Road 3025 
1,1,720,.138,Residential,28888 CAD,313 5th STREET E 
3,2,1616,.264,Residential,69900 CAD,212 2nd AVENUE E 
4,1,1666,6.02,Residential,186000 CAD,"16.02 acre parcel in RM of Cut Knife No. 439, SK "
4,2,819,.138,Residential,135000 CAD,133 Birch AVENUE N 
2,1,1580,,Residential,99500 CAD,302 Bounty STREET 
3,1,1260,0.11,Residential,45500 CAD,415 2nd STREET W 
4,2,1056,.138,Residential,100000 CAD,214 Souris AVENUE 
,,,8.56,Residential,85999 CAD,"Burlap Road, Lot Q "
3,2,663,,Residential,182900 CAD,440 R AVENUE S 
2,2,851,.159,Residential,59000 CAD,281 1st AVENUE W 
4,2,871,0.54,Residential,68000 CAD,207 2nd STREET W 
4,1,1649,5.52,Residential,199900 CAD,Bohl Acreage 
2,1,660,.108,Residential,65000 CAD,912 ELPHINSTONE STREET 
2,1,806,,Residential,69800 CAD,208 5th Avenue E 
