Beds,Bath,Sqft,Price,Address,Province,Region
3.0,2.0,,429900.0,14 Moran Lane ,NB,Atlantic region
4.0,2.0,,89500.0,151 Union Street ,NB,Atlantic region
4.0,3.0,,799000.0,336 Ledge Road ,NB,Atlantic region
,,968.0,69900.0,74 Main St ,NB,Atlantic region
3.0,2.0,,574900.0,2724 Route 148 ,NB,Atlantic region
,,,59900.0,Rte 118 Doyles Brook ,NB,Atlantic region
2.0,1.0,,165000.0,13 Bates Road ,NB,Atlantic region
,,2112.0,259800.0,"248 Duke St Miramichi, E1N 1J8 ",NB,Atlantic region
,,900.0,114900.0,"4000 sqm MacLaggan Dr, Blackville ",NB,Atlantic region
3.0,2.0,,439000.0,16 Stanley Oliver Road ,NB,Atlantic region
4.0,4.0,,519900.0,39 & 44 Pine Street ,NB,Atlantic region
3.0,2.0,,229900.0,3006 Woodstock Road ,NB,Atlantic region
6.0,3.0,,345000.0,38 Belair ,NB,Atlantic region
5.0,2.0,,279000.0,55 Sheriff Street ,NB,Atlantic region
3.0,1.0,,169900.0,18 Kennedy Lane ,NB,Atlantic region
3.0,1.0,,189900.0,695 Cumberland Point Road ,NB,Atlantic region
2.0,2.0,,299000.0,361 McCormick Street ,NB,Atlantic region
3.0,2.0,,49900.0,604 Charleston Road ,NB,Atlantic region
5.0,2.0,,289900.0,56 Islandview Drive ,NB,Atlantic region
4.0,2.0,,179900.0,4682 Juniper Road ,NB,Atlantic region
4.0,1.0,,129900.0,46 Mechanic Street ,NB,Atlantic region
3.0,2.0,,385000.0,9 Whitetail Lane ,NB,Atlantic region
5.0,2.0,,314900.0,23 Amberwood Lane ,NB,Atlantic region
5.0,7.0,,259900.0,54 Broad Street ,NB,Atlantic region
3.0,2.0,,445000.0,289 Point Road ,NB,Atlantic region
3.0,2.0,,289900.0,37 Millican ,NB,Atlantic region
4.0,,1240.0,44900.0,4972 Main ST ,NB,Atlantic region
1.0,3.0,,79000.0,198 Victoria Street ,NB,Atlantic region
6.0,3.0,,299900.0,2310 Route 620 ,NB,Atlantic region
3.0,1.0,,104900.0,1150 Route 616 ,NB,Atlantic region
3.0,2.0,,149900.0,51 Manor Road ,NB,Atlantic region
4.0,2.0,,399900.0,116 French Village Road ,NB,Atlantic region
3.0,3.0,,675000.0,29 Lakeview Lane ,NB,Atlantic region
4.0,2.0,,234900.0,6 Primrose Avenue ,NB,Atlantic region
6.0,2.0,,199500.0,60-62 Elm Park ,NB,Atlantic region
2.0,2.0,,164900.0,355 Red Bridge Road ,NB,Atlantic region
3.0,2.0,,279900.0,2264 Route 760 ,NB,Atlantic region
3.0,1.0,,159900.0,64 Woolastook Drive ,NB,Atlantic region
3.0,3.0,,169900.0,364 Main Street ,NB,Atlantic region
3.0,3.0,,649000.0,38 Jordan Street ,NB,Atlantic region
7.0,7.0,,649900.0,357 Dufferin Row ,NB,Atlantic region
3.0,2.0,,169900.0,1069 Woodland ,NB,Atlantic region
2.0,2.0,,185000.0,208 des Acadiens Boulevard ,NB,Atlantic region
3.0,1.0,,149900.0,271 Mount Pleasant Ave E ,NB,Atlantic region
3.0,2.0,,139000.0,1342 Grattan Road ,NB,Atlantic region
3.0,2.0,,125000.0,386 Molson Avenue ,NB,Atlantic region
4.0,2.0,,329900.0,11 Forest Hill Street ,NB,Atlantic region
3.0,2.0,,85000.0,270 Main Street ,NB,Atlantic region
2.0,1.0,,269900.0,982 Route 124 ,NB,Atlantic region
1.0,1.0,,59900.0,307 Maple ,NB,Atlantic region
2.0,2.0,,229900.0,1170 Route 555 ,NB,Atlantic region
4.0,1.0,,229900.0,34 Route 890 ,NB,Atlantic region
2.0,1.0,,94900.0,1102 Green Road ,NB,Atlantic region
5.0,4.0,,525000.0,19 Grafton Drive ,NB,Atlantic region
3.0,2.0,,99900.0,12 Todd Street ,NB,Atlantic region
2.0,2.0,,420000.0,54 & 56 Moss Glen Shore Road Lane ,NB,Atlantic region
3.0,2.0,,409000.0,2649 Rothesay Road ,NB,Atlantic region
3.0,1.0,,159900.0,45 Good Corner Road ,NB,Atlantic region
3.0,3.0,,189900.0,14 B Scribner ,NB,Atlantic region
2.0,1.0,,169900.0,610 Brunswick ,NB,Atlantic region
4.0,1.0,,124900.0,331 Kelly Road ,NB,Atlantic region
4.0,3.0,,129900.0,403 Main Street ,NB,Atlantic region
3.0,1.0,,239000.0,91 Louisa Lane ,NB,Atlantic region
