Beds,Bath,Sqft,Lot_Size,Type,Price,Address
3,2,2199,3.25,Residential,408300 CAD,Agri Park Road Acreage 
3,3,1762,,Residential,716000 CAD,"814 7th Street East, Saskatoon, Saskatchewan S7H 0Y4 "
4,4,2214,.167,Residential,523000 CAD,431 Whiteshore COURT 
4,3,1450,.178,Residential,478900 CAD,890 3rd STREET W 
3,3,1924,8.92,Residential,699900 CAD,Rolling Hills Wakaw Acreage 
5,4,1143,,Residential,424900 CAD,215 Thakur STREET 
4,3,1590,.111,Residential,450000 CAD,282 15th STREET 
3,2,1427,,Residential,484900 CAD,832 1st AVENUE N 
3,2,1533,0.67,Residential,429000 CAD,5 265 HIGHWAY 
4,4,1850,0.11,Residential,569900 CAD,311 Kalra STREET 
4,4,2020,.389,Residential,824900 CAD,806 Pohorecky COVE 
3,3,2500,g>15,Residential,775000 CAD,Eberle Acreage 
5,3,2400,,Residential,924900 CAD,735 9TH AVENUE N 
3,2,1360,,Residential,444900 CAD,21 Stardust BAY 
5,4,1924,,Residential,515000 CAD,1823 Eaglesham AVENUE 
6,4,1516,.172,Residential,629900 CAD,331 Dawson CRESCENT 
5,3,1588,4.82,Residential,599900 CAD,5 Evergreen Estates 
3,3,2034,.119,Residential,694900 CAD,551 Bolstad TURN 
6,3,1784,.344,Residential,435000 CAD,1408 Main STREET N 
4,2,1516,.138,Residential,449900 CAD,15 Duncan Cres. 
4,4,2634,.163,Residential,679900 CAD,66 Mayfield ROAD 
3,1,1312,,Residential,439900 CAD,2 Grouse Road 
5,3,1473,,Residential,499900 CAD,206 Atton COURT 
5,3,1720,.198,Residential,709000 CAD,882 Dickson ROAD 
4,3,1568,,Residential,459900 CAD,1719 Kilburn Avenue 
5,3,1288,2.12,Residential,599000 CAD,Lincoln Park ROAD 
5,3,2210,.244,Residential,579900 CAD,801 2nd STREET E 
4,3,1414,0.49,Residential,414900 CAD,11 Main CRESCENT 
3,3,1308,,Residential,760000 CAD,421 Lakeview DRIVE 
5,3,1814,2.45,Residential,599000 CAD,Wagner Property- Hwy 21 North 
4,4,2076,.151,Residential,519900 CAD,127 Hadley ROAD 
4,4,2300,.195,Residential,929700 CAD,327 Whiteswan DRIVE 
4,2,2016,.146,Residential,450000 CAD,320 F AVENUE S 
5,3,1386,9.75,Residential,776000 CAD,Liland/Robin Property 
5,4,2109,0.21,Residential,459000 CAD,898 3rd STREET W 
5,4,5325,.259,Residential,1999900 CAD,319 Zimmer TERRACE 
4,3,2479,.218,Residential,545900 CAD,1605 9th AVENUE N 
3,1,864,.207,Residential,549000 CAD,"316 Kahtava Drive, Horseshoe Bay "
5,4,2360,ng>1,Residential,585000 CAD,518 CANAWINDRA COVE 
5,3,1932,0.66,Residential,899000 CAD,26 Pape DRIVE 
4,3,1280,.142,Residential,429900 CAD,249 Hector CRESCENT N 
4,3,1844,.146,Residential,435000 CAD,40 Groome AVENUE 
4,4,2582,9.21,Residential,2250000 CAD,Verendrye Creek Acres 
4,3,1656,6.75,Residential,440000 CAD,337 Wruck Road 
4,3,1905,.251,Residential,499900 CAD,1106 Pacific AVENUE 
3,3,1931,9.73,Residential,499000 CAD,Sky Hawk Acres 
2,2,1056,>320,Farm,1200000 CAD,Robertson Farm 
5,4,3100,.212,Residential,849900 CAD,10 Meadow BAY 
5,2,1384,.213,Residential,464900 CAD,1604 Hilliard STREET E 
,1,912,,Residential,499900 CAD,324 6th AVENUE N 
6,3,1521,ng>5,Residential,605000 CAD,Williams Acreage 
5,4,5132,6.28,Residential,599900 CAD,Comfort Acreage 
3,4,2365,>160,Farm,699000 CAD,Ozzland 
4,4,1690,.105,Residential,489000 CAD,7086 Wascana Cove DRIVE 
3,2,1490,.254,Residential,624900 CAD,"218 R.A.C. Road, Evergreen Acres, Turtle Lake "
3,2,1040,4.99,Residential,449900 CAD,10 Friesen Lane 
5,3,1638,,Residential,599900 CAD,6 Willow View Court 
4,4,4710,3.03,Residential,1190000 CAD,14 Poplar ROAD 
5,3,1850,0.56,Farm,495000 CAD,Nokleby Farm 
7,4,2648,.302,Residential,499900 CAD,313 19th STREET W 
7,5,3375,.159,Residential,1099900 CAD,8350 Wascana Gardens WAY 
5,3,4200,4.13,Residential,450000 CAD,RM No. 127 Francis 
3,3,1770,,Residential,589900 CAD,219 Richard STREET 
3,3,1864,.106,Residential,479900 CAD,822 Labine CRESCENT 
7,6,4037,,Residential,1160000 CAD,319 Roy CRESCENT 
4,3,2218,.237,Residential,599000 CAD,920 Water Ridge CRESCENT 
3,4,1556,6.67,Residential,498500 CAD,Howe Acreage 
5,3,1449,0.15,Residential,549900 CAD,3040 Lakeview DRIVE 
6,4,2467,0.08,Residential,749900 CAD,1115 Aird STREET 
7,4,4005,g>14,Residential,849900 CAD,981 2nd AVENUE E 
4,4,2452,.393,Residential,569900 CAD,915 Grandview STREET W 
5,3,1218,.193,Residential,474900 CAD,281 7th AVENUE W 
6,3,1680,",040",Farm,2749000 CAD,"Truax Farm - 3,040 Acres "
4,3,1166,.128,Residential,419900 CAD,546 Scissons CRESCENT 
4,3,1847,.201,Residential,495000 CAD,219 5th STREET W 
4,4,2182,.413,Residential,889900 CAD,122 Aspen Village DRIVE 
4,4,1773,,Residential,519900 CAD,215 Stepney CRESCENT 
3,3,1820,.115,Residential,499900 CAD,30 Lakeshore DRIVE 
3,4,1841,g>40,Residential,569900 CAD,Water House Road Acreage 
4,3,1499,1.17,Residential,720000 CAD,RM of Battle River #438 
6,4,2240,,Residential,459900 CAD,315-317 Stillwater Drive 
3,3,1392,0.18,Residential,569900 CAD,"2501 Spruce Cres., Indian Point "
3,2,2336,>141,Residential,529000 CAD,McLeod Farm 
4,3,1387,,Residential,524900 CAD,1123 Evergreen BOULEVARD 
3,3,2258,9.93,Residential,1399000 CAD,35378 219 HIGHWAY 
5,3,1584,g>10,Residential,539900 CAD,Johnson Road Acreage 
5,4,2617,0.28,Residential,749000 CAD,36 Groat DRIVE 
5,4,1640,9.55,Residential,479000 CAD,9.55 acres Glaslyn Acreage 
3,3,2535,,Residential,1050000 CAD,1124 King CRESCENT 
5,3,1610,.143,Residential,445000 CAD,1055 Oxford STREET E 
4,3,2309,.088,Residential,575000 CAD,5516 Norseman CRESCENT 
5,2,2400,6.51,Residential,525000 CAD,Lambert Acreage 
5,3,1731,.321,Residential,430000 CAD,104 8th Avenue E 
6,3,1775,.459,Residential,499000 CAD,725 Kelly DRIVE 
4,3,1718,.194,Residential,449900 CAD,214 Marine DRIVE 
3,3,1640,,Residential,459900 CAD,263 Barrett STREET 
3,4,1865,,Residential,449900 CAD,339 Stechishin WAY 
2,2,1020,8.91,Residential,499900 CAD,Tweedsmuir Acreage 
4,3,1524,0.56,Residential,489000 CAD,214 West ROAD 
5,2,1382,58.9,Farm,899999 CAD,Rolston Farm Home Quarter 
4,2,2065,,Residential,424900 CAD,Lot 1 Nickorick Beach 
4,3,1916,",622",Farm,5525000 CAD,Unvoas Farm 
5,4,1860,,Residential,419900 CAD,147 Wright Crescent 
7,6,3308,,Residential,974900 CAD,406 Nicklaus DRIVE 
3,2,1212,8.85,Farm,1495000 CAD,Central Butte - Mackow Land 
4,4,3075,.221,Residential,839900 CAD,1075 Glacial Shores COMMON 
5,3,2158,.368,Residential,439000 CAD,523 1st AVENUE N 
4,3,4064,,Residential,599900 CAD,Keet Acreage 
3,3,1623,7.45,Residential,679900 CAD,117 Mission Ridge ROAD 
2,2,1908,.123,Residential,699900 CAD,151 Jean CRESCENT 
6,3,1680,",040",Farm,2749000 CAD,"RM 100 Truax Farm - 3,040 Acres "
5,2,1669,.176,Residential,549900 CAD,14 Hogarth PLACE 
3,3,1344,8.56,Farm,605000 CAD,18.56 Acreage with seed cleaning business 
5,3,1800,0.23,Residential,449000 CAD,217 Main STREET 
5,3,1475,",025",Farm,2650000 CAD,"RM 213 Saltcoats - 1,025 Acres "
4,1,1200,,Residential,499000 CAD,58 Oskunamoo DRIVE 
5,3,1200,,Residential,494900 CAD,562 Rempel MANOR 
5,3,1835,.268,Residential,839900 CAD,2855 Lakeview DRIVE 
4,4,1583,>0.1,Residential,434900 CAD,3802 Creekside ROAD E 
3,2,1270,9.85,Farm,1400000 CAD,Klassen Farm 
2,2,1288,0.25,Residential,699900 CAD,9-11 Simon Lehne DRIVE 
4,3,4684,,Residential,3490000 CAD,934 Saskatchewan CRESCENT E 
5,4,2817,.189,Residential,659000 CAD,743 McTaggart PLACE 
6,7,3417,9.88,Residential,1274900 CAD,#11 Darby ROAD 
6,3,3324,0.18,Farm,629777 CAD,Kippen Family Farm 
4,4,2306,.165,Residential,599900 CAD,11 Robertson ROAD 
4,4,1852,.122,Residential,513000 CAD,3364 Deiter BAY 
5,4,3858,.315,Residential,899900 CAD,331 Emerald COURT 
4,3,1230,,Residential,469000 CAD,2266 Goff PLACE 
4,3,1397,,Residential,569900 CAD,311 Shepherd CRESCENT 
4,2,1943,9.98,Residential,755900 CAD,Avondale Acres 
4,4,2140,.105,Residential,564900 CAD,2806 Sunninghill CRESCENT 
4,3,1437,.189,Residential,459900 CAD,10341 Bunce CRESCENT 
5,3,2040,g>22,Residential,479900 CAD,Amos Acreage 
4,2,1840,,Residential,434900 CAD,912 10th STREET E 
3,3,1668,.072,Residential,459900 CAD,2508 McAra STREET 
4,4,2112,0.11,Residential,579900 CAD,5409 McKenna CRESCENT 
3,3,1924,,Residential,829900 CAD,507 Tatanka DRIVE 
4,3,1846,0.15,Residential,554900 CAD,1438 Parker AVENUE 
3,3,2220,.176,Residential,649900 CAD,203 Adaskin COVE 
5,4,2390,,Residential,549000 CAD,615 Christopher WAY 
3,3,1170,0.64,Residential,424900 CAD,5 FEDERAL DRIVE 
3,4,1668,,Residential,649900 CAD,324 3rd STREET E 
3,3,1438,0.15,Residential,649900 CAD,103 Mallin CRESCENT 
3,3,2462,.103,Residential,959900 CAD,3131 McCallum AVENUE 
6,3,1910,,Residential,574900 CAD,710 Crystal Springs DRIVE 
5,4,1878,.122,Residential,599900 CAD,6266 WASCANA COURT CRESCENT 
6,3,1430,,Residential,409900 CAD,247 Delaronde LANE 
4,3,1704,.127,Residential,569000 CAD,1103 Stensrud ROAD 
6,4,2624,.159,Residential,459900 CAD,141 Westfield DRIVE 
4,2,1322,.149,Residential,409900 CAD,49 Lindsay DRIVE 
5,3,1265,.136,Residential,419000 CAD,2610 Shooter DRIVE 
4,3,1599,,Residential,609900 CAD,706 Atton CRESCENT 
3,3,2245,,Residential,797000 CAD,501 2nd STREET E 
4,3,1220,.136,Residential,458000 CAD,518 Vincent CRESCENT 
4,3,1144,.105,Residential,599000 CAD,2903 CRANBOURN CRESCENT 
5,4,3630,0.17,Residential,1300000 CAD,305 Currie AVENUE 
2,3,1325,.199,Residential,409000 CAD,88 Parklane DRIVE 
5,4,1742,.174,Residential,419000 CAD,48 Willow CRESCENT 
6,4,1348,0.12,Residential,539000 CAD,303 Gillies CRESCENT 
3,2,1306,.152,Residential,454999 CAD,447 Bentley COURT 
4,3,1247,,Residential,499000 CAD,201 Birch CRESCENT 
3,3,1707,.117,Residential,509900 CAD,234 Adaskin COVE 
4,4,2020,,Residential,555900 CAD,320 Delainey MANOR 
4,4,2321,3.51,Residential,1599900 CAD,River View Acreage on 33 Acres 
3,4,2700,,Residential,1799000 CAD,864 Saskatchewan CRESCENT E 
4,3,1460,.183,Residential,524900 CAD,10339 Wascana ESTATES 
4,3,1808,.137,Residential,489900 CAD,6910 Maple Brook CRESCENT 
6,4,1760,.126,Residential,459900 CAD,367 Crean CRESCENT 
4,3,2151,.143,Residential,459000 CAD,2240 LORNE STREET 
8,4,3200,.241,Residential,414900 CAD,231-233 Q AVENUE N 
4,3,2108,1.38,Residential,750000 CAD,Borden Area Acreage 
4,5,1532,g>72,Residential,799900 CAD,Martensville Acreage 
4,4,1965,.108,Residential,514900 CAD,3632 Green Bank ROAD 
3,3,1837,,Residential,559900 CAD,217 Mount Allison CRESCENT 
5,3,2015,>6.7,Residential,899900 CAD,106 Prairie Lane 
3,3,1786,.106,Residential,539900 CAD,451 KALRA STREET 
5,3,1936,,Residential,459900 CAD,3646 37th STREET W 
5,3,1331,,Residential,469900 CAD,61 Damour TERRACE 
3,2,1544,1.28,Residential,1599000 CAD,284 Katepwa DRIVE S 
6,4,2180,.116,Residential,679900 CAD,503 Secord MANOR 
4,3,1237,,Residential,494900 CAD,815 Shepherd CRESCENT 
3,3,1836,,Residential,619900 CAD,53 Red River ROAD 
4,4,1563,,Residential,439000 CAD,5201 Snowbirds CRESCENT 
