Beds,Bath,Sqft,Lot_Size,Type,Price,Address
4,1,"1,736",.249,Residential,"$239,000 CAD",176 School Street 
3,1,"2,323",NaN,Residential,"$123,000 CAD",14226 Highway 4 
6,6,"4,500",NaN,Residential,"$999,900 CAD",197 Baseline Road 
3,4,"4,900",ng>6,Residential,"$1,485,000 CAD",1852 Gospel Road 
NaN,NaN,NaN,.477,Residential,"$69,900 CAD",67 Osprey Ridge Road 
4,6,"6,790",>2.7,Residential,"$3,795,000 CAD",137 Gannet Lane 
1,1,"1,084",NaN,Residential,"$149,000 CAD",1336 HIGHWAY 308 
3,4,"2,906",NaN,Residential,"$449,900 CAD",1180 Saunders Road 
4,3,"4,036",4.02,Residential,"$679,000 CAD",4230 Marble Mountain Road 
4,3,"2,654",NaN,Residential,"$563,000 CAD",8981 Highway 331 
2,1,875,NaN,Residential,"$185,000 CAD",10282 Highway 201 
6,2,"2,569",NaN,Residential,"$450,000 CAD",180 C Boudreau Road 
3,4,"1,518",NaN,Residential,"$449,000 CAD",7 Black Cherry Lane 
1,1,"1,247",.321,Residential,"$235,000 CAD",160 Henry Hensey Drive 
3,2,"1,708",NaN,Residential,"$227,900 CAD",272 Main Street 
2,1,675,.124,Residential,"$99,900 CAD",5 Hillside Drive 
NaN,NaN,"2,378",g>62,Residential,"$499,000 CAD",474 Harbour Acres 
2,2,"1,004",NaN,Residential,"$169,900 CAD",22 Brook Avenue 
4,1,"1,200",NaN,Residential,"$149,900 CAD",11 Lake Darling Road 
5,3,"3,362",>5.5,Residential,"$853,000 CAD",122 Peter Sosna Drive 
3,2,"2,540",NaN,Residential,"$699,000 CAD",7385 Highway 3 
3,2,"1,617",0.09,Residential,"$379,000 CAD",15 School Street 
2,1,850,NaN,Residential,"$169,900 CAD",22 Winston Avenue 
3,2,"3,482",ng>2,Residential,"$1,250,000 CAD",6 Narrows Lane 
4,2,"2,016",NaN,Residential,"$439,900 CAD",502 Willow Street 
6,el,NaN,>1.8,Residential,"$495,000 CAD",147 Hwy 8 
4,1,"1,560",NaN,Residential,"$269,900 CAD",14 Lewis Lane 
3,2,"2,716",>8.8,Residential,"$749,000 CAD",4459 Shore Road 
3,2,"1,608",2.54,Residential,"$350,000 CAD",1843 Highway 1 Church Point 
