Beds,Bath,Sqft,Price,Address,Province,Region,Latitude,Longitude,Location
3.0,1.0,1800.0,159000.0,3 highway 5494,NS,Atlantic region,,,NaN
2.0,2.0,958.0,334900.0,6004 trunk 1 highway 17,NS,Atlantic region,,,NaN
3.0,4.0,2429.0,1489500.0,42 0 harbourside drive 42,NS,Atlantic region,,,NaN
3.0,4.0,2042.0,425900.0,lot 114a sam crescent ,NS,Atlantic region,,,NaN
2.0,2.0,1045.0,550000.0,329 highway 1237,NS,Atlantic region,,,NaN
4.0,1.0,1290.0,159999.0,316 highway|cross roads country harbour 17506,NS,Atlantic region,,,NaN
3.0,1.0,2000.0,259900.0,4546 hwy#252|hillsborough ,NS,Atlantic region,,,NaN
4.0,4.0,2455.0,625000.0,lot 303 21 stanfield avenue ,NS,Atlantic region,,,NaN
3.0,3.0,1804.0,726500.0,lot 10 sugarwood court ,NS,Atlantic region,,,NaN
4.0,2.0,2240.0,289000.0,795 west side indian hrb|indian harbour ,NS,Atlantic region,,,NaN
3.0,2.0,1008.0,359000.0,lot 1 old guysborough road ,NS,Atlantic region,,,NaN
2.0,1.0,840.0,200000.0,217 highway 8093,NS,Atlantic region,,,NaN
4.0,3.0,3400.0,995000.0,685 voyageur way 59,NS,Atlantic region,,,NaN
4.0,3.0,2264.0,579900.0,73 waxwing lane 661,NS,Atlantic region,,,NaN
2.0,2.0,1309.0,433450.0,site 15 6004 trunk 1 highway ,NS,Atlantic region,,,NaN
8.0,1.0,1800.0,89000.0,217 highway 337,NS,Atlantic region,,,NaN
3.0,1.0,1008.0,269000.0,211 highway 2038,NS,Atlantic region,,,NaN
3.0,2.0,2320.0,359000.0,4026 highway 206 samson cove ,NS,Atlantic region,,,NaN
3.0,4.0,2709.0,1604250.0,40 0 harbourside drive 40,NS,Atlantic region,,,NaN
5.0,4.0,4540.0,1695000.0,lot 66 1298 shore drive ,NS,Atlantic region,,,NaN
3.0,4.0,2709.0,1604250.0,0 harbourside drive 40,NS,Atlantic region,,,NaN
3.0,3.0,2342.0,649900.0,lot 6 cottontail lane ,NS,Atlantic region,,,NaN
5.0,4.0,4200.0,759900.0,242 fuller road ,NS,Atlantic region,,,NaN
3.0,2.0,2412.0,699000.0,1396 merland road|rr  1,NS,Atlantic region,,,NaN
3.0,3.0,2415.0,649900.0,12244 peggy's cove road|1 tanner frederick road ,NS,Atlantic region,,,NaN
4.0,1.0,1124.0,299000.0,105 highway 3792,NS,Atlantic region,,,NaN
3.0,1.0,936.0,89500.0,247 highway 1709,NS,Atlantic region,,,NaN
4.0,4.0,2710.0,849900.0,lot 17 35 angel court lot 17,NS,Atlantic region,,,NaN
3.0,3.0,2004.0,879900.0,lot 11 sugarwood court ,NS,Atlantic region,,,NaN
2.0,2.0,1400.0,139000.0,101 highway 5987,NS,Atlantic region,,,NaN
4.0,3.0,2042.0,474900.0,lot 5 rumi lane ,NS,Atlantic region,,,NaN
3.0,2.0,1596.0,499675.0,6004 trunk 1 highway 10,NS,Atlantic region,,,NaN
2.0,2.0,987.0,550000.0,49070 cabot trail road|st ann's ,NS,Atlantic region,,,NaN
4.0,4.0,2545.0,630000.0,40 poonam court 313,NS,Atlantic region,,,NaN
7.0,10.0,2100.0,850000.0,45478 cabot trail road|st. ann's ,NS,Atlantic region,,,NaN
4.0,3.0,4160.0,649900.0,26 ceildh drive ,NS,Atlantic region,,,NaN
3.0,2.0,1605.0,499900.0,lot 62 janda crescent ,NS,Atlantic region,,,NaN
3.0,3.0,1672.0,199900.0,1 highway 502,NS,Atlantic region,,,NaN
4.0,2.0,2253.0,649900.0,lot 5 cottontail lane ,NS,Atlantic region,,,NaN
3.0,3.0,2357.0,627000.0,lot 295 841 mccabe lake ,NS,Atlantic region,,,NaN
4.0,1.0,1716.0,349900.0,1957 hwy  289,NS,Atlantic region,,,NaN
3.0,3.0,1600.0,369900.0,lot 208 burgess crescent ,NS,Atlantic region,,,NaN
3.0,2.0,1268.0,448900.0,lot d peggy's cove road ,NS,Atlantic region,,,NaN
5.0,4.0,3994.0,1085900.0,ta44 170 talus avenue ,NS,Atlantic region,,,NaN
3.0,3.0,2050.0,550900.0,lot 9 fundy court ,NS,Atlantic region,,,NaN
5.0,2.0,2128.0,249000.0,105 highway|humes river 11399,NS,Atlantic region,,,NaN
4.0,2.0,1226.0,159900.0,85 port bickerton village road|port bickerton ,NS,Atlantic region,,,NaN
1.0,1.0,300.0,199999.0,lot 5-22 shore road ,NS,Atlantic region,,,NaN
3.0,4.0,2429.0,1489500.0,0 harbourside drive 42,NS,Atlantic region,,,NaN
1.0,1.0,1000.0,199000.0,229 campbells road|estmere ,NS,Atlantic region,,,NaN
4.0,4.0,2710.0,849900.0,lot 17 35 angel court ,NS,Atlantic region,,,NaN
4.0,2.0,2060.0,549000.0,340 highway 3002,NS,Atlantic region,,,NaN
4.0,3.0,2270.0,525900.0,lot 11 terence bay road ,NS,Atlantic region,,,NaN
3.0,2.0,1040.0,374000.0,lot 6 old guysborough road ,NS,Atlantic region,,,NaN
3.0,3.0,2750.0,629900.0,lot 03 102 sapling way lot 03,NS,Atlantic region,,,NaN
4.0,2.0,2600.0,650000.0,331 highway 8790,NS,Atlantic region,,,NaN
3.0,3.0,2336.0,594900.0,lot 10 158 frenchmans road ,NS,Atlantic region,,,NaN
4.0,4.0,2670.0,799900.0,lot 21 11 angel court lot 21,NS,Atlantic region,,,NaN
4.0,3.0,3788.0,1399000.0,16 sunset lane pringle lake ,NS,Atlantic region,,,NaN
3.0,1.0,1127.0,224900.0,215 highway 8287,NS,Atlantic region,,,NaN
4.0,1.0,1523.0,189000.0,201 highway 1852,NS,Atlantic region,,,NaN
4.0,2.0,1400.0,349000.0,303 highway 427,NS,Atlantic region,,,NaN
4.0,1.0,1600.0,39000.0,217 highway 348,NS,Atlantic region,,,NaN
4.0,3.0,2100.0,455900.0,lot 15 oldham road ,NS,Atlantic region,,,NaN
3.0,3.0,1720.0,449000.0,lot 88 peters drive ,NS,Atlantic region,,,NaN
3.0,3.0,1594.0,494900.0,lot 15 cornerstone drive ,NS,Atlantic region,,,NaN
3.0,3.0,2357.0,622400.0,lot 418 magenta drive ,NS,Atlantic region,,,NaN
3.0,2.0,1008.0,359000.0,lot 9 old guysborough road ,NS,Atlantic region,,,NaN
