Beds,Bath,Sqft,Lot_Size,Type,Price,Address
3,2,"2,506",NaN,Residential,"$269,000 CAD",10 Porter Street 
3,3,"1,488",NaN,Residential,"$599,900 CAD",8132 Highway 3 
2,1,875,NaN,Residential,"$185,000 CAD",10282 Highway 201 
3,3,"1,839",NaN,Residential,"$805,000 CAD",55 Lake Shore Drive 
2,3,"1,715",NaN,Residential,"$319,000 CAD",127 Pinky Creek Road 
2,2,"1,387",NaN,Residential,"$439,000 CAD",Lot 1 10525 Highway 7 
8,7,"4,648",>100,Residential,"$850,000 CAD",473 Upper River John Road 
2,1,"1,002",NaN,Residential,"$170,000 CAD",7933 Highway 1 Meteghan 
5,1,"2,190",g>26,Residential,"$349,900 CAD",6639 Upper Clyde Road 
3,1,"1,448",NaN,Residential,"$114,900 CAD",54 Laplanche Street 
NaN,NaN,"2,378",g>62,Residential,"$499,000 CAD",474 Harbour Acres 
2,1,832,0.75,Residential,"$334,900 CAD",12-66 Meek Arm Way 12-66
3,1,"1,760",.154,Residential,"$649,000 CAD",16 Summit St. 
3,2,"2,452",.232,Residential,"$599,900 CAD",19 Bobolink St 
3,2,"2,716",>8.8,Residential,"$749,000 CAD",4459 Shore Road 
3,1,"1,100",NaN,Residential,"$177,000 CAD",56 St Andrews Street 
2,2,864,0.92,Residential,"$369,900 CAD",6-70 Grandview 6-70
3,3,"1,980",NaN,Residential,"$524,800 CAD",139 Prince Albert Road 
4,2,"1,928",NaN,Residential,"$219,000 CAD",7574 Main Street 
3,2,"1,881",NaN,Residential,"$274,900 CAD",949 Sandy Point Road 
5,4,"5,102",NaN,Residential,"$649,900 CAD",36 Duckling Dell 
4,1,"2,464",>0.7,Residential,"$299,900 CAD",789 Old Port Mouton Road 
2,2,"1,004",NaN,Residential,"$169,900 CAD",22 Brook Avenue 
3,2,"1,702",1.31,Residential,"$385,000 CAD",53  Jovite Road Saulnierville Station 
5,2,"2,471",NaN,Residential,"$249,900 CAD",39 Regent Street 
3,2,"1,100",2.46,Residential,"$129,900 CAD","1907 Highway 247, L'Ardoise "
5,4,"3,600",NaN,Residential,"$799,900 CAD",34 Lewis Street 
1,2,"1,180",NaN,Other,"$419,900 CAD",579 Shore Rd 
3,2,"2,412",ng>8,Residential,"$699,000 CAD",1396 Merland  Road 
4,1,"1,546",.193,Residential,"$209,000 CAD",8376 Hwy 1 
4,3,"2,186",NaN,Residential,"$259,900 CAD",33 East Court Road 
3,1,"1,248",NaN,Residential,"$179,900 CAD",714 Lower Cove Road 
3,2,"2,010",41.7,Farm,"$1,575,000 CAD",2969 Highway 1 
4,2,"1,602",NaN,Residential,"$189,900 CAD",6447 207 Highway 
4,3,"4,088",3.13,Residential,"$1,999,900 CAD",4 Fiddlehead Way 
3,2,"2,042",NaN,Residential,"$799,000 CAD",Big Glode Island 
5,1,"1,336",NaN,Residential,"$159,000 CAD",478 Shore Road 
3,3,"4,500",NaN,Residential,"$579,000 CAD",204 Highway 1 Dayton 
3,2,"1,790",2.35,Residential,"$269,000 CAD",9629 Highway 1 Lower Saulnierville 
3,1,864,NaN,Residential,"$189,500 CAD",665 Lower River Road 
4,3,"1,590",1.69,Residential,"$199,900 CAD",2302 Hwy 1 
4,3,"2,670",NaN,Residential,"$799,900 CAD",11 Angel Court 
4,2,"2,642",.197,Residential,"$299,900 CAD",484 Main Street 
3,2,"2,412",NaN,Residential,"$699,000 CAD",1396 Merland Road RR #1 
3,3,"2,689",NaN,Residential,"$479,900 CAD",5 Tannery Court 
3,2,"2,660",7.59,Residential,"$610,000 CAD",5888 Highway 331 
3,1,"2,760",0.84,Residential,"$425,000 CAD",26 Main Street 
3,2,"1,280",ng>1,Residential,"$269,000 CAD",96 Session Street 
4,3,"1,935",NaN,Residential,"$425,000 CAD",45 Chemin A Ben Road 
2,1,"1,050",5.39,Residential,"$225,000 CAD",59 Georges Road 
3,1,"1,566",NaN,Residential,"$279,000 CAD",32 Union Street 
5,2,"2,200",NaN,Residential,"$659,000 CAD",476 Canoe Island Road 
4,2,"1,341",NaN,Residential,"$259,900 CAD",31 Chestnut Street 
4,3,"3,200",0.43,Residential,"$285,000 CAD",15 Lakeview Drive 
3,3,"2,400",3.97,Residential,"$1,300,000 CAD",72 Everetts Way 
4,1,"2,135",.169,Residential,"$339,000 CAD",12 Dalkeith Drive 
1,1,468,8.85,Residential,"$148,000 CAD",43 Belliveau Lake Estates Road 
6,5,"3,604",4.22,Residential,"$595,000 CAD",677 Bangor Road 
1,2,971,NaN,Residential,"$184,900 CAD",3729 Highway 3 
2,2,"1,750",.408,Residential,"$460,000 CAD",4 Hardwood Hill Lane 
3,1,"1,041",.418,Residential,"$175,000 CAD",7048 Highway 3 
4,6,"6,790",>2.7,Residential,"$3,795,000 CAD",137 Gannet Lane 
7,10,"5,880",NaN,Residential,"$599,000 CAD",4 TUPPER Court 
