Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
5.0,2.0,,,Residential,499900 CAD,1187 Bayview Dr ,ON,Central
2.0,1.0,600.0,,Residential,399900 CAD,92 EAST 32ND Street ,ON,Central
,,,>1.6,Residential,299900 CAD,628195B Side Road 15 ,ON,Central
1.0,1.0,,,Residential,199900 CAD,"111 Riverside Dr. East, Windsor ",ON,Central
2.0,1.0,,,Residential,312000 CAD,2003 VIRGIL Street ,ON,Central
4.0,2.0,,,Residential,349000 CAD,350 GEORGE Street ,ON,Central
4.0,4.0,,,Residential,449888 CAD,1 Gingras Court ,ON,Central
3.0,1.0,,,Residential,349900 CAD,219 Lincoln Street ,ON,Central
3.0,1.0,,>1.3,Residential,399900 CAD,1381 Highway 511 ,ON,Central
,,,,Residential,409000 CAD,"296 13th St W, Owen Sound ",ON,Central
1.0,1.0,,,Residential,499999 CAD,205 Sherway Gardens Rd ,ON,Central
